Mach,Altitude,PowerCode,Thrust,RamDrag,FuelFlow,EINox,ThrustNet,TSFC,,,Mach,Altitude,PowerCode,,Thrust_Equation (lb),TSFC_Equation (lb/lb/hr)
0,0,50,115540,0,32629.9,0.28241,115540,0.282412152,,,0,0,50,,113284.3849,0.296896407
0,0,48,107837.3,0,29754.1,0.27592,107837.3,0.275916589,,,,,,,,
0,0,46,100134.7,0,27174.2,0.27138,100134.7,0.271376456,,,,,,,Thrust lapse,
0,0,42,84729.3,0,22430.2,0.26473,84729.3,0.264727786,,,,,,,1,
0,0,38,69324,0,18094.5,0.26101,69324,0.261013502,,,,,,,,
0,0,34,53918.7,0,13909.9,0.25798,53918.7,0.257979143,,,,,,,,
0,0,30,38513.3,0,9738,0.25285,38513.3,0.252847718,,,,,,,,
0,0,26,23108,0,5889.5,0.25487,23108,0.254868444,,,,,,,,
0,0,24,16175.6,0,4372.8,0.27033,16175.6,0.270333094,,,,,,,,
0,0,22,9243.2,0,2928.2,0.3168,9243.2,0.316795049,,,,,,,,
0,0,21,5777,0,2286.8,0.39584,5777,0.395845595,,,,,,,,
0.1,0,50,118890,13068.2,33366.4,0.31531,105821.8,0.315307432,,,,,,,,
0.1,0,48,111433.1,12666.1,30447.6,0.30828,98767,0.308277056,,,,,,,,
0.1,0,46,103944,12231.8,27932.2,0.30456,91712.2,0.304563624,,,,,,,,
0.1,0,42,88891.4,11288.7,23200.4,0.29896,77602.7,0.298963825,,,,,,,,
0.1,0,38,73747.8,10254.8,18852,0.29691,63493,0.296914621,,,,,,,,
0.1,0,34,58494.2,9110.7,14677.5,0.29722,49383.5,0.297214657,,,,,,,,
0.1,0,30,43082.2,7808.3,10500.4,0.29768,35273.9,0.297681855,,,,,,,,
0.1,0,26,27381.6,6217.2,6501.3,0.30718,21164.4,0.307180926,,,,,,,,
0.1,0,24,20146.6,5331.6,4899.7,0.33072,14815,0.330725616,,,,,,,,
0.1,0,22,12702.3,4236.5,3338.7,0.39438,8465.8,0.394375015,,,,,,,,
0.1,0,21,8824.8,3217.8,2287,0.48935,5607,0.407883003,,,,,,,,
0.2,0,50,122677.9,26570.1,33691.1,0.35056,96107.8,0.350555314,,,,,,,,
0.2,0,48,115508.8,25808.1,30888.2,0.34435,89700.7,0.344347369,,,,,,,,
0.2,0,46,108276.2,24982.8,28482.7,0.34196,83293.4,0.341956265,,,,,,,,
0.2,0,42,93686.8,23207.8,23783.1,0.33745,70479,0.337449453,,,,,,,,
0.2,0,38,78912.8,21248.1,19450.6,0.33731,57664.7,0.337305145,,,,,,,,
0.2,0,34,63931,19080.7,15276.1,0.3406,44850.3,0.340601958,,,,,,,,
0.2,0,30,48652.6,16616.7,11143.2,0.34783,32035.9,0.347834773,,,,,,,,
0.2,0,26,32854.1,13632.5,7056.7,0.36713,19221.6,0.367123444,,,,,,,,
0.2,0,24,25443.1,11988,5309.2,0.39459,13455.1,0.394586439,,,,,,,,
0.2,0,22,17679.6,9991,3638.8,0.47327,7688.6,0.473272117,,,,,,,,
0.2,0,21,13555.5,7778.8,2276.9,0.59013,5776.7,0.394152371,,,,,,,,
0.25,0,50,125631.7,33631.4,33951.3,0.36904,92000.3,0.369034666,,,,,,,,
0.25,0,48,118570.7,32703.7,31188.4,0.36322,85867,0.363217534,,,,,,,,
0.25,0,46,111432.7,31699.1,28800.7,0.36121,79733.6,0.361211585,,,,,,,,
0.25,0,42,97016.2,29549.3,24112.7,0.3574,67466.9,0.357400444,,,,,,,,
0.25,0,38,82362,27161.8,19786.2,0.35844,55200.2,0.358444353,,,,,,,,
0.25,0,34,67461.4,24527.9,15572.5,0.36271,42933.5,0.362712101,,,,,,,,
